"Code","Council","GP","Vacant","LAB","CON","LD","Other","SNP","PC","DUP","SF","AL","SDLP","UUP","raw_total","party"
"E07000178","Oxford","6","0","32","0","9","0","0","0","0","0","0","0","0","48","LAB"
"W06000009","Pembrokeshire","0","0","10","11","2","35","0","2","0","0","0","0","0","60","NOC"
"E07000122","Pendle","0","0","11","17","5","0","0","0","0","0","0","0","0","33","CON"
"S12000048","Perth and Kinross","0","0","2","14","4","4","16","0","0","0","0","0","0","40","NOC"
"E06000031","Peterborough","3","0","17","28","8","4","0","0","0","0","0","0","0","60","NOC"
"E06000026","Plymouth","1","0","24","24","0","8","0","0","0","0","0","0","0","57","NOC"
"E06000044","Portsmouth","0","0","9","13","17","3","0","0","0","0","0","0","0","42","NOC"
"W06000023","Powys","0","0","9","14","24","18","0","3","0","0","0","0","0","73","NOC"
"E07000123","Preston","0","0","30","11","7","0","0","0","0","0","0","0","0","48","LAB"
"E06000038","Reading","7","0","32","6","3","0","0","0","0","0","0","0","0","46","LAB"
"E09000026","Redbridge","0","0","55","5","0","3","0","0","0","0","0","0","0","63","LAB"
"E07000236","Redditch","1","0","7","20","0","1","0","0","0","0","0","0","0","29","CON"
"E07000211","Reigate and Banstead","9","0","0","27","3","6","0","0","0","0","0","0","0","51","CON"
"S12000038","Renfrewshire","0","0","15","5","1","1","21","0","0","0","0","0","0","43","NOC"
"W06000016","Rhondda Cynon Taf","0","0","59","2","0","0","0","8","0","0","0","0","0","75","LAB"
"E09000027","Richmond upon Thames","5","0","0","1","48","0","0","0","0","0","0","0","0","54","LD"
"E08000005","Rochdale","0","0","42","10","3","5","0","0","0","0","0","0","0","60","LAB"
"E07000075","Rochford","1","0","0","21","5","12","0","0","0","0","0","0","0","39","CON"
"E07000125","Rossendale","1","0","19","11","0","5","0","0","0","0","0","0","0","36","LAB"
"E07000220","Rugby","0","0","10","23","9","0","0","0","0","0","0","0","0","42","CON"
"E07000212","Runnymede","1","0","3","24","3","10","0","0","0","0","0","0","0","42","CON"
"E07000092","Rushmoor","0","0","9","28","2","0","0","0","0","0","0","0","0","39","CON"
"E08000006","Salford","0","0","49","8","2","1","0","0","0","0","0","0","0","60","LAB"
"E08000028","Sandwell","0","0","61","9","0","2","0","0","0","0","0","0","0","72","LAB"
"S12000026","Scottish Borders","1","0","0","14","3","7","9","0","0","0","0","0","0","34","NOC"
"E08000014","Sefton","0","0","48","7","8","3","0","0","0","0","0","0","0","66","LAB"
"E08000019","Sheffield","14","0","39","1","29","1","0","0","0","0","0","0","0","84","NOC"
"S12000027","Shetland Islands","1","0","1","0","0","20","1","0","0","0","0","0","0","22","NOC"
"E06000039","Slough","6","0","35","0","0","1","0","0","0","0","0","0","0","42","LAB"
"E08000029","Solihull","14","0","0","28","5","4","0","0","0","0","0","0","0","51","CON"
"E10000027","Somerset","5","0","5","36","61","3","0","0","0","0","0","0","0","55","LD"
"N06000014","South Antrim","0","0","0","0","0","0","0","0","2","1","1","0","1","5","NOC"
"S12000028","South Ayrshire","0","0","5","10","0","4","9","0","0","0","0","0","0","28","NOC"
"E07000012","South Cambridgeshire","0","0","0","8","37","0","0","0","0","0","0","0","0","45","LD"
"N06000015","South Down","0","0","0","0","0","0","0","0","1","2","1","1","0","5","NOC"
"S12000029","South Lanarkshire","1","0","24","7","3","2","27","0","0","0","0","0","0","64","NOC"
"E08000023","South Tyneside","6","0","41","1","0","6","0","0","0","0","0","0","0","54","LAB"
"E06000045","Southampton","0","0","26","21","1","0","0","0","0","0","0","0","0","48","LAB"
"E06000033","Southend-on-Sea","0","0","16","21","6","8","0","0","0","0","0","0","0","51","NOC"
"E09000028","Southwark","0","0","52","0","11","0","0","0","0","0","0","0","0","63","LAB"
"E07000240","St Albans","1","0","0","4","50","1","0","0","0","0","0","0","0","58","LD"
"E08000013","St. Helens","6","0","29","2","4","7","0","0","0","0","0","0","0","48","LAB"
"E07000243","Stevenage","0","0","24","9","6","0","0","0","0","0","0","0","0","39","LAB"
"S12000030","Stirling","1","0","6","7","0","1","8","0","0","0","0","0","0","23","NOC"
"E08000007","Stockport","2","0","25","5","28","3","0","0","0","0","0","0","0","63","NOC"
"N06000016","Strangford","0","0","0","0","0","0","0","0","2","0","0","0","1","5","DUP"
"E08000024","Sunderland","0","0","41","18","14","2","0","0","0","0","0","0","0","75","LAB"
"E09000029","Sutton","0","0","3","20","29","3","0","0","0","0","0","0","0","54","LD"
"W06000011","Swansea","0","0","45","7","11","12","0","0","0","0","0","0","0","72","LAB"
"E06000030","Swindon","0","0","23","34","0","0","0","0","0","0","0","0","0","57","CON"
"E08000008","Tameside","1","0","48","8","0","0","0","0","0","0","0","0","0","57","LAB"
"E07000199","Tamworth","0","0","3","25","0","2","0","0","0","0","0","0","0","30","CON"
"E07000215","Tandridge","0","0","0","10","11","21","0","0","0","0","0","0","0","42","NOC"
"E07000102","Three Rivers","1","0","3","12","23","0","0","0","0","0","0","0","0","39","LD"
"E06000034","Thurrock","0","0","14","30","0","5","0","0","0","0","0","0","0","49","CON"
"W06000020","Torfaen","0","0","30","0","0","10","0","0","0","0","0","0","0","44","LAB"
"E09000030","Tower Hamlets","1","0","19","1","0","24","0","0","0","0","0","0","0","45","NOC"
"E08000009","Trafford","4","0","41","13","5","0","0","0","0","0","0","0","0","63","LAB"
"E07000116","Tunbridge Wells","0","0","7","13","16","12","0","0","0","0","0","0","0","48","NOC"
"N06000017","Upper Bann","0","0","0","0","0","0","0","0","2","1","1","0","1","5","NOC"
"W06000014","Vale of Glamorgan","0","0","25","13","0","8","0","8","0","0","0","0","0","47","NOC"
"E08000036","Wakefield","0","0","45","13","3","2","0","0","0","0","0","0","0","63","LAB"
"E08000030","Walsall","0","0","20","38","0","2","0","0","0","0","0","0","0","60","CON"
"E09000031","Waltham Forest","0","0","47","13","0","0","0","0","0","0","0","0","0","60","LAB"
"E09000032","Wandsworth","0","0","35","22","0","1","0","0","0","0","0","0","0","60","LAB"
"E07000103","Watford","0","0","9","0","27","0","0","0","0","0","0","0","0","36","LD"
"E07000241","Welwyn Hatfield","0","0","10","26","12","0","0","0","0","0","0","0","0","48","CON"
"S12000039","West Dunbartonshire","0","0","12","0","0","1","9","0","0","0","0","0","0","22","LAB"
"E07000127","West Lancashire","0","0","25","20","0","5","0","0","0","0","0","0","0","54","NOC"
"S12000040","West Lothian","0","0","12","4","1","1","15","0","0","0","0","0","0","33","NOC"
"E07000181","West Oxfordshire","2","0","9","20","15","3","0","0","0","0","0","0","0","49","NOC"
"N06000018","West Tyrone","0","0","0","0","0","0","0","0","1","3","0","4","0","5","NOC"
"E09000033","Westminster","0","0","31","23","0","0","0","0","0","0","0","0","0","60","LAB"
"ENEW_W","Westmorland and Furness","1","0","15","11","36","2","0","0","0","0","0","0","0","65","LD"
"E08000010","Wigan","0","0","61","7","0","7","0","0","0","0","0","0","0","75","LAB"
"E07000094","Winchester","1","0","0","15","27","2","0","0","0","0","0","0","0","45","LD"
"E08000015","Wirral","9","0","26","24","6","1","0","0","0","0","0","0","0","66","NOC"
"E07000217","Woking","0","0","3","8","16","3","0","0","0","0","0","0","0","30","LD"
"E06000041","Wokingham","0","0","3","26","23","2","0","0","0","0","0","0","0","54","NOC"
"E08000031","Wolverhampton","0","0","44","16","0","0","0","0","0","0","0","0","0","60","LAB"
"E07000237","Worcester","6","0","12","15","2","0","0","0","0","0","0","0","0","35","NOC"
"E07000229","Worthing","0","0","23","12","1","1","0","0","0","0","0","0","0","37","LAB"
"W06000006","Wrexham","0","0","14","9","1","23","0","9","0","0","0","0","0","52","NOC"
